objectid,n_muertos,n_heridos,id_accident
97224,0,0,97224
97225,0,0,97225
97226,0,0,97226
97227,0,0,97227
97228,0,0,97228
97229,0,1,97229
97230,0,0,97230
97231,0,0,97231
97232,0,0,97232
97233,0,0,97233
97234,0,2,97234
97235,0,0,97235
97236,0,0,97236
97237,0,1,97237
97238,0,0,97238
97239,0,1,97239
97240,0,1,97240
97241,0,0,97241
97242,0,0,97242
97243,0,4,97243
97244,0,0,97244
97245,0,0,97245
97246,0,1,97246
97247,0,2,97247
97248,0,1,97248
97249,0,0,97249
97250,0,1,97250
97251,0,2,97251
97252,0,0,97252
97253,0,0,97253
97254,0,0,97254
97255,0,0,97255
97256,0,1,97256
97257,1,17,97257
97258,0,0,97258
97259,0,0,97259
97260,0,0,97260
97261,0,0,97261
97262,0,3,97262
97263,0,0,97263
97264,0,0,97264
97265,0,1,97265
97266,0,0,97266
97267,0,0,97267
97268,0,0,97268
97269,0,0,97269
97270,0,3,97270
97271,0,0,97271
97272,0,0,97272
97273,0,1,97273
97274,0,0,97274
97275,0,1,97275
97276,0,0,97276
97277,0,0,97277
97278,0,0,97278
97279,0,0,97279
97280,0,0,97280
97281,0,0,97281
97282,0,0,97282
97283,0,0,97283
97284,0,0,97284
97285,0,0,97285
97286,0,2,97286
97287,0,0,97287
97288,0,0,97288
97289,0,0,97289
97290,0,0,97290
97291,0,0,97291
97292,0,0,97292
97293,0,0,97293
97294,0,0,97294
97295,0,0,97295
97296,0,1,97296
97297,0,0,97297
97298,0,3,97298
97299,0,0,97299
97300,0,0,97300
97301,1,0,97301
97302,0,0,97302
97303,0,0,97303
97304,0,0,97304
97305,0,1,97305
97306,0,0,97306
97307,0,0,97307
97308,0,0,97308
97309,0,0,97309
97310,0,0,97310
97311,0,0,97311
97312,0,0,97312
97313,0,0,97313
97314,0,2,97314
97315,3,7,97315
97316,0,0,97316
97317,0,0,97317
97318,0,0,97318
97319,0,0,97319
97320,0,0,97320
97321,0,0,97321
97322,0,0,97322
97323,0,0,97323
97324,0,0,97324
97325,1,0,97325
97326,0,0,97326
97327,0,0,97327
97328,0,1,97328
97533,0,0,97533
97475,0,0,97475
97476,0,0,97476
97477,0,2,97477
97478,0,1,97478
97479,0,2,97479
97480,0,0,97480
97481,0,0,97481
97482,0,0,97482
97483,0,0,97483
97484,0,0,97484
97485,0,2,97485
97486,0,0,97486
97487,0,0,97487
97488,0,2,97488
97489,0,0,97489
97490,0,0,97490
97491,0,1,97491
97492,1,0,97492
97493,0,4,97493
97494,0,2,97494
97495,0,1,97495
97496,0,0,97496
97497,0,2,97497
97498,0,1,97498
97499,0,0,97499
97500,0,0,97500
97501,0,0,97501
97502,1,1,97502
97503,0,1,97503
97504,0,2,97504
97505,0,0,97505
97506,0,3,97506
97507,0,0,97507
97508,0,0,97508
97509,0,2,97509
97510,0,0,97510
97511,0,6,97511
97512,0,1,97512
97513,0,0,97513
97514,1,0,97514
97515,0,2,97515
97516,0,0,97516
97517,0,1,97517
97518,0,0,97518
97519,1,0,97519
97520,0,0,97520
97521,0,0,97521
97522,0,0,97522
97523,0,0,97523
97524,1,0,97524
97525,1,0,97525
97526,0,0,97526
97527,0,1,97527
97528,0,0,97528
97529,0,1,97529
97530,0,0,97530
97531,0,0,97531
97532,0,0,97532
97534,0,0,97534
97535,0,0,97535
97536,0,0,97536
97537,0,1,97537
97538,1,15,97538
97539,0,0,97539
97540,0,1,97540
97541,0,0,97541
97542,0,3,97542
97626,0,0,97626
97627,1,0,97627
97628,0,0,97628
97629,0,1,97629
97630,0,1,97630
97631,0,0,97631
97632,0,0,97632
97633,0,2,97633
97634,0,0,97634
97635,0,0,97635
97636,0,0,97636
97637,0,0,97637
97638,0,0,97638
97639,0,0,97639
97640,0,0,97640
97641,0,0,97641
97642,0,0,97642
97643,0,3,97643
97955,0,0,97955
97956,0,0,97956
97957,0,0,97957
97958,1,0,97958
97959,0,2,97959
97960,0,1,97960
97961,0,0,97961
97962,0,1,97962
97963,0,2,97963
97964,0,0,97964
97965,1,1,97965
97966,0,0,97966
97967,0,0,97967
97968,0,0,97968
97969,0,0,97969
97970,0,0,97970
97971,0,2,97971
97972,0,0,97972
97973,0,0,97973
97974,0,2,97974
97975,0,0,97975
97976,0,1,97976
101910,0,0,101910
101913,0,0,101913
101914,0,0,101914
101915,0,1,101915
101916,1,0,101916
101917,1,1,101917
101918,0,0,101918
101919,0,2,101919
101920,0,0,101920
101922,0,0,101922
101923,0,0,101923
101925,0,0,101925
101927,0,0,101927
101928,0,0,101928
101930,0,1,101930
101931,0,0,101931
101933,0,0,101933
101935,0,1,101935
101937,0,0,101937
101940,0,0,101940
101941,0,0,101941
101943,0,0,101943
101945,0,2,101945
101947,1,0,101947
101948,0,0,101948
101951,0,0,101951
101952,0,0,101952
101954,0,0,101954
101956,0,2,101956
106101,0,1,106101
101958,0,0,101958
101961,0,0,101961
101964,0,0,101964
101967,0,0,101967
101969,0,0,101969
101970,0,0,101970
101971,0,0,101971
101972,0,0,101972
101974,0,0,101974
103290,0,0,103290
106100,0,0,106100
103291,0,0,103291
103292,0,0,103292
103293,0,0,103293
103294,0,0,103294
103295,0,1,103295
106095,0,0,106095
106096,0,0,106096
106097,0,1,106097
106098,0,2,106098
106099,1,0,106099
106102,0,0,106102
106103,0,0,106103
106104,2,0,106104
106110,0,0,106110
106495,0,2,106495
107701,0,1,107701
108895,0,0,108895
108896,0,0,108896
108897,0,1,108897
112100,0,0,112100
112101,0,0,112101
112102,0,1,112102
112103,0,0,112103
112104,0,0,112104
112105,1,1,112105
112106,0,0,112106
112107,0,0,112107
112108,0,1,112108
112109,0,0,112109
112110,0,0,112110
112111,0,0,112111
112112,0,0,112112
112113,0,2,112113
112114,0,0,112114
112115,0,0,112115
112116,0,0,112116
116112,0,0,116112
116500,0,0,116500
116501,0,1,116501
116503,0,0,116503
116505,0,0,116505
116506,0,0,116506
116508,0,0,116508
116509,0,0,116509
116511,0,0,116511
120932,0,0,120932
120933,0,0,120933
120934,0,0,120934
120935,0,0,120935
120936,0,1,120936
120937,2,0,120937
120938,0,1,120938
121308,0,0,121308
122115,0,0,122115
122116,0,0,122116
122117,0,1,122117
122121,0,0,122121
122124,0,1,122124
122125,0,0,122125
122126,0,0,122126
122521,0,0,122521
122527,0,0,122527
122916,0,0,122916
135323,0,0,135323
135324,0,1,135324
135325,0,0,135325
135326,0,0,135326
135327,0,0,135327
135328,0,0,135328
136117,0,0,136117
138138,0,1,138138
138140,0,0,138140
138536,0,0,138536
139336,0,0,139336
139337,0,1,139337
139338,0,0,139338
139339,0,0,139339
139340,0,0,139340
139747,0,1,139747
139748,0,0,139748
139749,0,0,139749
139750,0,1,139750
139751,0,0,139751
139752,1,0,139752
139753,0,0,139753
140141,0,0,140141
140142,0,0,140142
140143,0,0,140143
140144,0,0,140144
140145,0,0,140145
140146,0,0,140146
140147,0,2,140147
140948,0,0,140948
140949,0,1,140949
140950,1,0,140950
140951,0,0,140951
140952,0,0,140952
141348,0,0,141348
141349,0,4,141349
141350,0,1,141350
141351,0,1,141351
142551,0,0,142551
142552,0,0,142552
142553,0,0,142553
142554,1,1,142554
142555,0,6,142555
142556,0,0,142556
142557,0,0,142557
142558,0,1,142558
142559,0,1,142559
142948,0,1,142948
142949,0,3,142949
142950,0,0,142950
142951,0,1,142951
142952,0,0,142952
142953,0,0,142953
142954,0,0,142954
142955,0,1,142955
142956,0,1,142956
143348,0,2,143348
143349,0,0,143349
143350,0,0,143350
143351,0,6,143351
143748,0,0,143748
143749,0,0,143749
144548,1,0,144548
144549,0,2,144549
147749,0,0,147749
147750,0,0,147750
148149,0,0,148149
148150,0,0,148150
148151,0,0,148151
148152,0,0,148152
148153,0,0,148153
148154,0,0,148154
148155,0,0,148155
148156,0,0,148156
148157,0,0,148157
148158,0,0,148158
148159,0,0,148159
148160,0,0,148160
148161,0,0,148161
148162,0,0,148162
150149,0,0,150149
150150,0,0,150150
150151,0,0,150151
150152,0,3,150152
150153,0,0,150153
150154,0,0,150154
150155,0,0,150155
151349,0,0,151349
151350,0,0,151350
151351,0,0,151351
151352,0,0,151352
151353,0,0,151353
151354,0,0,151354
151355,0,0,151355
151356,0,0,151356
151357,0,0,151357
151358,0,0,151358
151359,0,0,151359
154951,0,0,154951
154952,0,0,154952
154953,0,0,154953
154954,0,0,154954
154955,0,0,154955
154956,0,0,154956
154957,0,0,154957
154958,1,21,154958
154959,0,0,154959
154961,0,0,154961
158549,0,0,158549
158550,1,0,158550
158551,0,2,158551
158552,0,0,158552
159355,0,1,159355
160154,0,0,160154
160155,0,3,160155
160549,0,1,160549
160550,0,0,160550
160986,0,2,160986
160989,0,0,160989
160993,1,1,160993
160995,0,0,160995
160997,0,0,160997
160999,0,0,160999
161000,0,0,161000
161001,0,2,161001
166950,0,2,166950
166951,0,0,166951
166952,0,0,166952
166953,0,0,166953
166954,0,0,166954
166956,0,0,166956
166957,0,0,166957
166958,1,0,166958
171350,0,4,171350
171351,0,0,171351
171352,0,0,171352
171353,0,0,171353
171354,0,1,171354
171355,0,3,171355
171356,0,0,171356
171750,0,0,171750
171752,0,0,171752
171753,0,1,171753
171755,0,3,171755
171757,0,0,171757
171758,0,0,171758
171759,0,0,171759
171773,0,1,171773
172202,0,1,172202
172204,0,1,172204
172215,0,0,172215
172217,0,1,172217
172218,0,0,172218
172219,0,1,172219
172562,0,0,172562
172564,0,1,172564
172961,0,0,172961
172962,0,0,172962
172963,0,2,172963
176973,0,1,176973
176968,0,1,176968
176969,0,0,176969
176970,0,0,176970
176971,0,0,176971
176972,0,1,176972
176974,0,0,176974
176975,0,0,176975
176976,0,3,176976
176977,0,0,176977
176978,0,0,176978
176979,0,0,176979
176980,0,0,176980
177360,0,0,177360
177361,0,1,177361
177362,0,2,177362
177364,0,0,177364
177366,0,0,177366
177367,0,1,177367
177385,1,0,177385
177386,0,0,177386
177387,0,0,177387
179364,0,0,179364
179365,0,0,179365
179366,0,0,179366
179367,0,0,179367
179781,0,0,179781
179782,1,0,179782
179783,0,1,179783
179784,0,0,179784
181760,0,0,181760
185361,0,0,185361
185761,0,0,185761
185762,0,0,185762
185763,0,0,185763
185764,0,0,185764
185765,2,0,185765
185766,0,0,185766
185767,0,0,185767
186563,0,2,186563
186564,0,0,186564
186565,0,0,186565
186566,0,4,186566
187361,0,2,187361
187782,0,0,187782
187783,0,0,187783
187784,0,1,187784
188962,0,0,188962
188963,0,0,188963
188964,0,2,188964
192167,0,0,192167
192168,0,0,192168
192169,0,0,192169
192170,0,0,192170
192171,0,3,192171
192172,0,0,192172
192173,0,0,192173
192174,0,0,192174
192175,0,0,192175
192176,0,0,192176
192177,0,1,192177
192961,0,1,192961
192962,0,2,192962
192966,0,0,192966
192967,0,1,192967
192968,0,1,192968
192969,0,0,192969
192970,0,0,192970
192971,0,0,192971
192972,0,2,192972
192973,0,0,192973
192974,0,0,192974
193362,0,0,193362
193363,0,0,193363
193364,0,1,193364
193365,0,5,193365
193366,0,0,193366
193367,0,0,193367
193369,0,1,193369
193370,0,0,193370
193375,0,2,193375
193377,0,0,193377
193762,0,0,193762
193763,0,0,193763
193764,0,2,193764
193765,0,0,193765
193766,0,0,193766
194961,0,0,194961
194962,0,1,194962
195761,0,0,195761
195762,0,1,195762
199361,0,0,199361
199362,0,0,199362
200563,1,0,200563
200567,0,0,200567
200962,0,1,200962
200963,0,0,200963
200964,2,0,200964
200967,0,0,200967
201361,0,8,201361
201362,0,0,201362
201363,0,0,201363
201364,0,0,201364
201365,0,0,201365
201367,0,0,201367
201368,0,0,201368
201369,0,0,201369
201370,0,0,201370
201371,0,0,201371
201372,0,0,201372
201373,0,0,201373
201374,0,0,201374
201375,0,0,201375
201376,0,0,201376
201377,0,0,201377
201378,0,0,201378
201379,0,0,201379
201380,0,0,201380
201381,0,0,201381
201382,0,0,201382
210570,0,1,210570
212569,0,0,212569
214175,0,0,214175
214172,0,0,214172
214174,0,0,214174
214202,0,0,214202
214569,0,0,214569
214571,0,1,214571
214573,0,0,214573
214574,0,0,214574
214575,0,0,214575
214576,1,1,214576
214581,0,0,214581
214582,0,0,214582
214584,0,0,214584
214585,0,0,214585
214587,0,0,214587
214589,0,0,214589
214591,0,0,214591
214593,0,0,214593
214596,0,1,214596
214597,0,0,214597
217779,0,0,217779
217780,0,0,217780
230607,0,1,230607
230604,1,0,230604
230605,0,1,230605
230610,0,0,230610
230612,1,0,230612
230613,0,0,230613
230614,0,0,230614
230615,0,1,230615
230616,0,1,230616
230617,0,0,230617
230618,0,0,230618
230619,0,0,230619
230622,0,0,230622
230625,0,0,230625
230627,0,3,230627
241854,0,0,241854
241855,0,21,241855
241856,0,0,241856
241857,0,1,241857
241858,0,1,241858
241859,0,0,241859
242254,0,0,242254
242255,0,1,242255
242256,0,1,242256
247054,0,0,247054
247055,0,0,247055
257467,0,0,257467
257468,0,1,257468
257469,0,0,257469
257470,0,0,257470
257471,0,4,257471
257472,0,0,257472
257473,0,0,257473
257474,0,0,257474
259875,0,0,259875
259876,0,1,259876
259877,0,0,259877
259878,0,1,259878
259879,0,1,259879
259880,0,1,259880
259881,0,0,259881
261472,1,3,261472
261473,0,0,261473
261474,0,0,261474
261475,0,4,261475
261476,1,0,261476
261867,0,0,261867
261868,1,1,261868
261869,0,0,261869
261870,1,3,261870
263071,0,0,263071
263072,0,0,263072
263073,0,0,263073
263074,0,0,263074
263075,0,0,263075
263076,0,4,263076
263077,0,0,263077
263078,0,0,263078
263079,0,0,263079
263080,0,0,263080
263081,0,0,263081
263082,0,0,263082
263083,0,1,263083
263467,0,0,263467
263468,0,0,263468
263469,0,2,263469
267867,0,2,267867
269090,0,1,269090
269093,0,1,269093
269094,0,5,269094
269095,0,2,269095
269096,0,0,269096
269097,0,0,269097
271887,0,1,271887
271888,0,0,271888
271889,0,0,271889
271890,0,0,271890
271891,0,1,271891
271892,0,0,271892
271893,0,0,271893
271894,0,0,271894
271895,0,1,271895
271896,0,1,271896
271897,0,0,271897
271898,0,2,271898
271899,0,0,271899
271900,0,0,271900
271901,0,0,271901
271902,0,0,271902
271903,0,2,271903
271904,0,1,271904
272269,0,0,272269
272270,1,1,272270
272272,0,0,272272
272273,0,0,272273
272276,2,0,272276
272278,0,3,272278
272280,0,0,272280
272284,0,0,272284
272669,0,0,272669
272671,0,0,272671
272674,0,0,272674
281868,0,2,281868
282280,0,0,282280
282667,0,1,282667
282668,1,1,282668
284667,0,1,284667
284668,0,2,284668
284669,0,3,284669
284670,0,1,284670
284671,0,0,284671
284672,0,2,284672
285487,0,2,285487
285489,0,0,285489
285490,0,0,285490
285491,0,0,285491
286277,0,0,286277
286278,0,0,286278
286279,0,1,286279
286667,0,0,286667
286668,0,0,286668
286671,0,0,286671
286672,0,0,286672
286673,0,2,286673
286674,1,0,286674
287067,0,0,287067
287068,0,3,287068
287069,0,0,287069
287070,0,0,287070
289070,0,0,289070
289071,0,0,289071
289072,0,0,289072
295067,0,1,295067
295068,1,0,295068
295069,0,1,295069
296267,0,0,296267
296268,0,2,296268
296269,0,0,296269
296270,0,1,296270
296271,0,0,296271
296272,0,0,296272
296273,0,1,296273
296274,0,0,296274
296275,0,0,296275
296276,0,1,296276
296277,0,1,296277
296278,0,0,296278
296279,0,0,296279
299878,0,0,299878
302279,0,3,302279
301470,0,1,301470
301471,0,0,301471
302278,0,0,302278
305870,0,0,305870
305872,0,0,305872
305873,0,0,305873
305874,0,0,305874
305875,0,0,305875
305876,0,0,305876
306267,0,0,306267
306667,0,1,306667
306668,0,0,306668
306669,0,0,306669
306670,0,0,306670
306671,0,0,306671
307067,0,0,307067
307068,0,0,307068
307069,1,0,307069
307469,0,0,307469
307470,0,0,307470
307471,0,0,307471
307873,0,0,307873
311073,0,0,311073
311074,0,1,311074
311473,0,1,311473
311474,0,0,311474
311475,0,0,311475
311476,0,0,311476
312673,0,0,312673
313877,0,0,313877
313880,0,0,313880
313881,0,1,313881
313882,0,0,313882
313883,0,0,313883
313884,0,0,313884
313885,0,0,313885
313886,0,1,313886
313887,0,0,313887
313888,0,0,313888
314673,0,0,314673
314674,1,0,314674
314675,0,1,314675
314676,0,0,314676
314677,0,0,314677
315083,0,1,315083
315084,0,0,315084
317877,0,1,317877
321073,0,0,321073
321074,0,1,321074
321075,0,1,321075
321076,1,0,321076
321873,0,1,321873
333494,1,0,333494
333495,0,0,333495
336683,0,1,336683
337084,0,1,337084
337484,0,2,337484
340694,0,0,340694
340695,0,0,340695
340696,0,0,340696
340697,1,1,340697
340698,0,0,340698
340701,0,2,340701
341483,0,0,341483
341484,0,2,341484
341485,0,0,341485
341486,0,3,341486
341487,0,1,341487
341488,0,0,341488
343485,0,2,343485
352297,1,0,352297
352706,0,2,352706
352707,0,2,352707
353104,0,0,353104
353105,0,0,353105
353106,0,1,353106
353107,0,0,353107
353501,0,2,353501
353502,0,0,353502
353504,0,0,353504
353505,0,0,353505
353506,0,1,353506
353508,0,0,353508
353892,0,0,353892
353894,0,0,353894
355092,0,0,355092
355093,0,1,355093
355094,0,0,355094
355095,0,1,355095
355096,0,0,355096
355492,0,0,355492
363492,0,1,363492
373492,0,0,373492
379111,0,0,379111
379112,0,1,379112
379115,0,1,379115
379517,0,0,379517
381492,0,1,381492
381493,0,0,381493
381494,0,0,381494
381495,0,0,381495
381506,0,1,381506
381892,0,1,381892
381893,0,0,381893
382292,0,1,382292
382714,0,1,382714
384294,0,0,384294
384295,0,3,384295
384296,0,0,384296
384302,0,2,384302
384694,0,0,384694
384695,0,1,384695
384696,0,0,384696
384697,0,0,384697
384698,0,0,384698
384706,0,0,384706
384707,0,2,384707
384708,0,2,384708
386692,0,1,386692
391092,0,1,391092
391093,0,0,391093
391094,0,2,391094
391095,0,0,391095
391096,0,0,391096
391097,0,0,391097
391098,0,2,391098
391492,0,0,391492
391493,0,0,391493
391494,0,1,391494
391495,0,2,391495
391496,0,0,391496
391497,0,4,391497
391498,0,1,391498
402712,0,0,402712
402713,0,1,402713
402714,0,0,402714
402715,1,0,402715
402716,0,1,402716
402717,0,1,402717
402718,0,1,402718
403098,1,0,403098
403099,0,0,403099
403100,0,0,403100
403101,0,1,403101
403102,0,1,403102
403103,0,1,403103
403104,0,0,403104
403105,0,0,403105
403106,0,0,403106
404292,1,0,404292
406305,0,1,406305
406309,0,1,406309
409113,0,0,409113
409114,0,0,409114
409115,0,1,409115
409117,0,2,409117
409119,0,0,409119
409120,0,1,409120
409122,0,1,409122
409525,0,1,409525
409516,0,0,409516
409517,0,0,409517
409518,0,0,409518
409519,1,2,409519
409522,0,0,409522
409526,1,1,409526
411899,0,0,411899
411896,0,0,411896
411897,0,1,411897
411900,0,0,411900
411901,1,0,411901
412295,0,0,412295
412296,0,0,412296
412297,0,0,412297
412298,0,0,412298
412300,0,0,412300
412301,0,1,412301
412302,0,0,412302
412304,0,0,412304
421500,0,2,421500
424707,0,0,424707
425112,0,1,425112
425492,0,1,425492
427492,0,0,427492
427493,0,1,427493
427494,0,0,427494
427495,0,1,427495
427497,0,1,427497
427500,0,0,427500
427892,0,0,427892
427893,0,0,427893
427894,0,1,427894
427896,0,1,427896
429892,1,0,429892
430694,0,0,430694
430695,0,0,430695
430696,0,0,430696
430697,0,0,430697
430698,0,0,430698
431093,0,0,431093
431094,0,0,431094
431095,0,2,431095
431096,0,0,431096
431097,0,0,431097
440294,1,0,440294
440296,0,0,440296
440297,0,0,440297
440302,0,1,440302
442301,0,0,442301
440305,0,0,440305
440307,0,0,440307
440695,0,1,440695
440697,0,0,440697
440698,0,1,440698
440699,0,0,440699
440700,0,0,440700
440701,0,2,440701
440702,0,1,440702
440703,0,0,440703
440705,0,0,440705
440706,0,2,440706
440707,0,0,440707
441099,0,0,441099
441101,0,1,441101
441103,1,0,441103
441105,0,0,441105
442700,0,2,442700
443492,1,0,443492
446303,0,0,446303
446697,1,0,446697
447095,0,0,447095
447096,0,0,447096
447097,1,0,447097
447493,0,0,447493
447895,0,0,447895
447896,0,0,447896
447897,0,0,447897
447898,0,0,447898
447899,0,0,447899
447901,0,2,447901
447902,0,0,447902
448292,0,0,448292
448296,0,0,448296
448297,0,0,448297
448301,0,0,448301
448302,0,1,448302
448303,0,0,448303
448304,0,0,448304
448306,0,2,448306
457096,1,0,457096
457098,0,1,457098
457494,0,0,457494
457495,0,0,457495
457498,0,0,457498
457501,0,1,457501
458314,0,1,458314
458707,0,0,458707
458708,0,2,458708
458709,0,0,458709
458710,0,1,458710
459112,0,0,459112
459113,1,1,459113
459114,0,0,459114
459115,0,0,459115
459494,0,0,459494
459495,0,1,459495
459496,0,1,459496
459894,0,0,459894
459895,0,0,459895
459896,0,0,459896
462704,0,0,462704
462705,0,0,462705
462706,0,1,462706
462707,0,2,462707
462708,0,2,462708
462709,0,2,462709
462710,0,0,462710
462716,0,1,462716
462718,0,0,462718
462719,0,0,462719
462720,0,0,462720
463101,0,2,463101
463102,0,0,463102
463103,0,0,463103
463104,0,1,463104
463105,0,0,463105
463106,0,0,463106
463107,0,1,463107
463108,2,0,463108
463109,0,0,463109
463110,0,2,463110
463111,0,1,463111
463113,0,0,463113
463494,1,0,463494
465503,0,1,465503
469094,0,1,469094
469097,1,1,469097
469098,0,0,469098
469100,0,1,469100
469101,0,3,469101
469103,0,0,469103
469104,0,0,469104
469494,0,2,469494
470694,0,1,470694
470695,0,0,470695
470696,0,0,470696
470697,0,0,470697
470698,0,1,470698
